iteration 1 performed, best fitness : 141.521
iteration 2 performed, best fitness : 105.271
iteration 3 performed, best fitness : 126.988
iteration 4 performed, best fitness : 115.159
iteration 5 performed, best fitness : 132.827
iteration 6 performed, best fitness : 139.563
iteration 7 performed, best fitness : 137.877
iteration 8 performed, best fitness : 130.184
iteration 9 performed, best fitness : 148.345
iteration 10 performed, best fitness : 143.082
iteration 11 performed, best fitness : 151.528
iteration 12 performed, best fitness : 225.37
iteration 13 performed, best fitness : 493.57
iteration 14 performed, best fitness : 177.588
iteration 15 performed, best fitness : 191.052
iteration 16 performed, best fitness : 178.143
iteration 17 performed, best fitness : 168.597
iteration 18 performed, best fitness : 191.49
iteration 19 performed, best fitness : 1053.44
iteration 20 performed, best fitness : 199.955
iteration 21 performed, best fitness : 777.516
iteration 22 performed, best fitness : 670.507
iteration 23 performed, best fitness : 426.784
iteration 24 performed, best fitness : 1056.37
iteration 25 performed, best fitness : 572.103
iteration 26 performed, best fitness : 197.1
iteration 27 performed, best fitness : 603.381
iteration 28 performed, best fitness : 594.383
iteration 29 performed, best fitness : 192.916
iteration 30 performed, best fitness : 501.544
iteration 31 performed, best fitness : 198.106
iteration 32 performed, best fitness : 432.632
iteration 33 performed, best fitness : 175.343
iteration 34 performed, best fitness : 1052.98
iteration 35 performed, best fitness : 979.645
iteration 36 performed, best fitness : 770.5
iteration 37 performed, best fitness : 683.749
iteration 38 performed, best fitness : 228.204
iteration 39 performed, best fitness : 761.36
iteration 40 performed, best fitness : 575.298
iteration 41 performed, best fitness : 230.001
iteration 42 performed, best fitness : 210.728
iteration 43 performed, best fitness : 992.654
iteration 44 performed, best fitness : 1065.46
iteration 45 performed, best fitness : 821.569
iteration 46 performed, best fitness : 810.665
iteration 47 performed, best fitness : 1044.62
iteration 48 performed, best fitness : 489.413
iteration 49 performed, best fitness : 658.221
iteration 50 performed, best fitness : 368.618
iteration 51 performed, best fitness : 645.026
iteration 52 performed, best fitness : 1060.43
iteration 53 performed, best fitness : 1048.81
iteration 54 performed, best fitness : 636.646
iteration 55 performed, best fitness : 582.724
iteration 56 performed, best fitness : 1046.6
iteration 57 performed, best fitness : 1048.97
iteration 58 performed, best fitness : 713.708
iteration 59 performed, best fitness : 724.128
iteration 60 performed, best fitness : 1068.42
iteration 61 performed, best fitness : 1063.39
iteration 62 performed, best fitness : 754.455
iteration 63 performed, best fitness : 1052.41
iteration 64 performed, best fitness : 1063.85
iteration 65 performed, best fitness : 878.864
iteration 66 performed, best fitness : 1060.14
iteration 67 performed, best fitness : 1060.2
iteration 68 performed, best fitness : 1051.76
iteration 69 performed, best fitness : 1058.2
iteration 70 performed, best fitness : 1048.92
iteration 71 performed, best fitness : 1082.79
iteration 72 performed, best fitness : 1060.67
iteration 73 performed, best fitness : 1051.57
iteration 74 performed, best fitness : 1067.22
iteration 75 performed, best fitness : 1059.4
iteration 76 performed, best fitness : 774.577
iteration 77 performed, best fitness : 1061.59
iteration 78 performed, best fitness : 1070.47
iteration 79 performed, best fitness : 1075.38
iteration 80 performed, best fitness : 1073.06
iteration 81 performed, best fitness : 1103.7
iteration 82 performed, best fitness : 1073.47
iteration 83 performed, best fitness : 1066.58
iteration 84 performed, best fitness : 1263.21
iteration 85 performed, best fitness : 1072.06
iteration 86 performed, best fitness : 1084.19
iteration 87 performed, best fitness : 1085.52
iteration 88 performed, best fitness : 1072.01
iteration 89 performed, best fitness : 1068.24
iteration 90 performed, best fitness : 1079.56
iteration 91 performed, best fitness : 1073.2
iteration 92 performed, best fitness : 1089.71
iteration 93 performed, best fitness : 1082.29
iteration 94 performed, best fitness : 1069.67
iteration 95 performed, best fitness : 1072.09
iteration 96 performed, best fitness : 1077.03
iteration 97 performed, best fitness : 1116.19
iteration 98 performed, best fitness : 1084.47
iteration 99 performed, best fitness : 1086.77
iteration 100 performed, best fitness : 1090.2
iteration 101 performed, best fitness : 1085.19
iteration 102 performed, best fitness : 1083.06
