iteration 1 performed, best fitness : 105.107
iteration 2 performed, best fitness : 125.954
iteration 3 performed, best fitness : 122.536
iteration 4 performed, best fitness : 103.237
iteration 5 performed, best fitness : 198.632
iteration 6 performed, best fitness : 167.375
iteration 7 performed, best fitness : 157.717
iteration 8 performed, best fitness : 170.134
iteration 9 performed, best fitness : 178.477
iteration 10 performed, best fitness : 155.173
iteration 11 performed, best fitness : 176.31
iteration 12 performed, best fitness : 271.148
iteration 13 performed, best fitness : 166.277
iteration 14 performed, best fitness : 225.833
iteration 15 performed, best fitness : 343.568
iteration 16 performed, best fitness : 204.064
iteration 17 performed, best fitness : 464.778
iteration 18 performed, best fitness : 357.597
iteration 19 performed, best fitness : 449.601
iteration 20 performed, best fitness : 509.431
iteration 21 performed, best fitness : 269.248
iteration 22 performed, best fitness : 247.799
iteration 23 performed, best fitness : 438.533
iteration 24 performed, best fitness : 295.627
iteration 25 performed, best fitness : 517.3
iteration 26 performed, best fitness : 369.507
iteration 27 performed, best fitness : 334.868
iteration 28 performed, best fitness : 305.483
iteration 29 performed, best fitness : 641.909
iteration 30 performed, best fitness : 422.911
iteration 31 performed, best fitness : 431.458
iteration 32 performed, best fitness : 431.038
iteration 33 performed, best fitness : 236.175
iteration 34 performed, best fitness : 513.817
iteration 35 performed, best fitness : 194.766
iteration 36 performed, best fitness : 434.281
iteration 37 performed, best fitness : 617.602
iteration 38 performed, best fitness : 541.931
iteration 39 performed, best fitness : 608.007
iteration 40 performed, best fitness : 704.35
iteration 41 performed, best fitness : 396.76
iteration 42 performed, best fitness : 635.206
iteration 43 performed, best fitness : 798.328
iteration 44 performed, best fitness : 506.6
iteration 45 performed, best fitness : 783.781
iteration 46 performed, best fitness : 429.521
iteration 47 performed, best fitness : 466.675
iteration 48 performed, best fitness : 939.133
iteration 49 performed, best fitness : 470.275
iteration 50 performed, best fitness : 506.847
iteration 51 performed, best fitness : 481.517
iteration 52 performed, best fitness : 559.773
iteration 53 performed, best fitness : 656.48
iteration 54 performed, best fitness : 601.773
iteration 55 performed, best fitness : 556.225
iteration 56 performed, best fitness : 657.025
iteration 57 performed, best fitness : 729.123
iteration 58 performed, best fitness : 450.21
iteration 59 performed, best fitness : 577.435
iteration 60 performed, best fitness : 671.983
iteration 61 performed, best fitness : 574.297
iteration 62 performed, best fitness : 823.536
iteration 63 performed, best fitness : 817.834
iteration 64 performed, best fitness : 650.285
iteration 65 performed, best fitness : 713.615
iteration 66 performed, best fitness : 809.281
iteration 67 performed, best fitness : 863.867
iteration 68 performed, best fitness : 800.988
iteration 69 performed, best fitness : 1283.77
iteration 70 performed, best fitness : 795.282
iteration 71 performed, best fitness : 473.233
iteration 72 performed, best fitness : 792.47
iteration 73 performed, best fitness : 697.235
iteration 74 performed, best fitness : 710.979
iteration 75 performed, best fitness : 726.334
iteration 76 performed, best fitness : 927.354
iteration 77 performed, best fitness : 925.992
iteration 78 performed, best fitness : 592.743
iteration 79 performed, best fitness : 672.252
iteration 80 performed, best fitness : 750.507
iteration 81 performed, best fitness : 1060.6
iteration 82 performed, best fitness : 715.367
iteration 83 performed, best fitness : 743.756
iteration 84 performed, best fitness : 713.157
iteration 85 performed, best fitness : 1060.26
iteration 86 performed, best fitness : 1066.31
iteration 87 performed, best fitness : 765.729
iteration 88 performed, best fitness : 1059.06
iteration 89 performed, best fitness : 1059.61
iteration 90 performed, best fitness : 1060.59
iteration 91 performed, best fitness : 1065.77
iteration 92 performed, best fitness : 1060.38
iteration 93 performed, best fitness : 1060.73
