iteration 1 performed, best fitness : 144.599
iteration 2 performed, best fitness : 219.018
iteration 3 performed, best fitness : 140.393
iteration 4 performed, best fitness : 146.486
iteration 5 performed, best fitness : 168.292
iteration 6 performed, best fitness : 158.831
iteration 7 performed, best fitness : 128.664
iteration 8 performed, best fitness : 158.544
iteration 9 performed, best fitness : 241.839
iteration 10 performed, best fitness : 201.034
iteration 11 performed, best fitness : 149.408
iteration 12 performed, best fitness : 149.124
iteration 13 performed, best fitness : 142.643
iteration 14 performed, best fitness : 400.499
iteration 15 performed, best fitness : 533.49
iteration 16 performed, best fitness : 191.735
iteration 17 performed, best fitness : 368.955
iteration 18 performed, best fitness : 201.055
iteration 19 performed, best fitness : 209.733
iteration 20 performed, best fitness : 343.61
iteration 21 performed, best fitness : 584.925
iteration 22 performed, best fitness : 543.541
iteration 23 performed, best fitness : 284.384
iteration 24 performed, best fitness : 235.599
iteration 25 performed, best fitness : 265.088
iteration 26 performed, best fitness : 272.479
iteration 27 performed, best fitness : 373.176
iteration 28 performed, best fitness : 648.133
iteration 29 performed, best fitness : 274.895
iteration 30 performed, best fitness : 392.247
iteration 31 performed, best fitness : 489.415
iteration 32 performed, best fitness : 400.128
iteration 33 performed, best fitness : 442.456
iteration 34 performed, best fitness : 420.034
iteration 35 performed, best fitness : 438.152
iteration 36 performed, best fitness : 444.805
iteration 37 performed, best fitness : 609.439
iteration 38 performed, best fitness : 547.155
iteration 39 performed, best fitness : 385.93
iteration 40 performed, best fitness : 435.235
iteration 41 performed, best fitness : 570.501
iteration 42 performed, best fitness : 576.29
iteration 43 performed, best fitness : 400.893
iteration 44 performed, best fitness : 324.421
iteration 45 performed, best fitness : 624.007
iteration 46 performed, best fitness : 435.262
iteration 47 performed, best fitness : 542.066
iteration 48 performed, best fitness : 554.092
iteration 49 performed, best fitness : 457.571
iteration 50 performed, best fitness : 554.652
iteration 51 performed, best fitness : 533.634
iteration 52 performed, best fitness : 499.996
iteration 53 performed, best fitness : 633.672
iteration 54 performed, best fitness : 499.996
iteration 55 performed, best fitness : 562.173
iteration 56 performed, best fitness : 401.599
iteration 57 performed, best fitness : 610.461
iteration 58 performed, best fitness : 470.581
iteration 59 performed, best fitness : 473.211
iteration 60 performed, best fitness : 568.833
iteration 61 performed, best fitness : 436.88
iteration 62 performed, best fitness : 415.803
iteration 63 performed, best fitness : 727.087
iteration 64 performed, best fitness : 389.328
iteration 65 performed, best fitness : 708.05
iteration 66 performed, best fitness : 410.932
iteration 67 performed, best fitness : 702.73
iteration 68 performed, best fitness : 531.398
iteration 69 performed, best fitness : 426.589
iteration 70 performed, best fitness : 541.525
iteration 71 performed, best fitness : 646.934
iteration 72 performed, best fitness : 494.964
iteration 73 performed, best fitness : 460.818
iteration 74 performed, best fitness : 374.797
iteration 75 performed, best fitness : 374.858
iteration 76 performed, best fitness : 352.542
iteration 77 performed, best fitness : 628.077
iteration 78 performed, best fitness : 659.156
iteration 79 performed, best fitness : 482.015
iteration 80 performed, best fitness : 449.192
iteration 81 performed, best fitness : 598.949
iteration 82 performed, best fitness : 578.497
iteration 83 performed, best fitness : 530.063
iteration 84 performed, best fitness : 462.532
iteration 85 performed, best fitness : 565.639
iteration 86 performed, best fitness : 487.257
iteration 87 performed, best fitness : 514.226
iteration 88 performed, best fitness : 466.34
iteration 89 performed, best fitness : 669.267
iteration 90 performed, best fitness : 598.291
iteration 91 performed, best fitness : 553.305
iteration 92 performed, best fitness : 446.412
iteration 93 performed, best fitness : 590.066
iteration 94 performed, best fitness : 571.188
iteration 95 performed, best fitness : 428.502
iteration 96 performed, best fitness : 469.219
iteration 97 performed, best fitness : 694.566
iteration 98 performed, best fitness : 581.446
iteration 99 performed, best fitness : 628.577
iteration 100 performed, best fitness : 400.659
iteration 101 performed, best fitness : 489.76
iteration 102 performed, best fitness : 580.104
iteration 103 performed, best fitness : 461.017
iteration 104 performed, best fitness : 331.757
