iteration 1 performed, best fitness : 146.747
iteration 2 performed, best fitness : 148.016
iteration 3 performed, best fitness : 151.006
iteration 4 performed, best fitness : 151.048
iteration 5 performed, best fitness : 151.114
iteration 6 performed, best fitness : 151.564
iteration 7 performed, best fitness : 152.313
iteration 8 performed, best fitness : 155.757
iteration 9 performed, best fitness : 157.391
iteration 10 performed, best fitness : 159.217
iteration 11 performed, best fitness : 160.664
iteration 12 performed, best fitness : 171.458
iteration 13 performed, best fitness : 163.918
iteration 14 performed, best fitness : 175.236
iteration 15 performed, best fitness : 186.246
iteration 16 performed, best fitness : 181.203
iteration 17 performed, best fitness : 194.538
iteration 18 performed, best fitness : 184.792
iteration 19 performed, best fitness : 195.58
iteration 20 performed, best fitness : 201.751
iteration 21 performed, best fitness : 189.177
iteration 22 performed, best fitness : 202.118
iteration 23 performed, best fitness : 195.352
iteration 24 performed, best fitness : 200.051
iteration 25 performed, best fitness : 203.608
iteration 26 performed, best fitness : 211.397
iteration 27 performed, best fitness : 208.761
iteration 28 performed, best fitness : 210.8
iteration 29 performed, best fitness : 210.31
iteration 30 performed, best fitness : 230.393
iteration 31 performed, best fitness : 275.717
iteration 32 performed, best fitness : 234.394
iteration 33 performed, best fitness : 235.841
iteration 34 performed, best fitness : 223.432
iteration 35 performed, best fitness : 223.908
iteration 36 performed, best fitness : 227.293
iteration 37 performed, best fitness : 258.882
iteration 38 performed, best fitness : 222.735
iteration 39 performed, best fitness : 241.738
iteration 40 performed, best fitness : 239.366
iteration 41 performed, best fitness : 268.421
iteration 42 performed, best fitness : 743.147
iteration 43 performed, best fitness : 504.256
iteration 44 performed, best fitness : 311.925
iteration 45 performed, best fitness : 414.389
iteration 46 performed, best fitness : 444.412
iteration 47 performed, best fitness : 502.878
iteration 48 performed, best fitness : 404.015
iteration 49 performed, best fitness : 429.475
iteration 50 performed, best fitness : 529.49
iteration 51 performed, best fitness : 483.575
iteration 52 performed, best fitness : 428.95
iteration 53 performed, best fitness : 454.502
iteration 54 performed, best fitness : 603.835
iteration 55 performed, best fitness : 413.965
iteration 56 performed, best fitness : 631.088
iteration 57 performed, best fitness : 539.547
iteration 58 performed, best fitness : 443.104
iteration 59 performed, best fitness : 574.73
iteration 60 performed, best fitness : 480.638
iteration 61 performed, best fitness : 555.459
iteration 62 performed, best fitness : 482.354
iteration 63 performed, best fitness : 719.328
iteration 64 performed, best fitness : 623.591
iteration 65 performed, best fitness : 409.102
iteration 66 performed, best fitness : 647.326
iteration 67 performed, best fitness : 533.906
iteration 68 performed, best fitness : 492.735
iteration 69 performed, best fitness : 489.636
iteration 70 performed, best fitness : 558.62
iteration 71 performed, best fitness : 563.711
iteration 72 performed, best fitness : 674.817
iteration 73 performed, best fitness : 577.898
iteration 74 performed, best fitness : 543.55
iteration 75 performed, best fitness : 500.785
iteration 76 performed, best fitness : 632.062
iteration 77 performed, best fitness : 480.924
iteration 78 performed, best fitness : 490.182
iteration 79 performed, best fitness : 767.104
iteration 80 performed, best fitness : 440.398
iteration 81 performed, best fitness : 731.859
iteration 82 performed, best fitness : 465.721
iteration 83 performed, best fitness : 502.665
iteration 84 performed, best fitness : 643.52
iteration 85 performed, best fitness : 626.225
iteration 86 performed, best fitness : 805.768
iteration 87 performed, best fitness : 711.833
iteration 88 performed, best fitness : 849.449
iteration 89 performed, best fitness : 623.574
iteration 90 performed, best fitness : 648.709
iteration 91 performed, best fitness : 623.208
iteration 92 performed, best fitness : 656.456
iteration 93 performed, best fitness : 679.612
iteration 94 performed, best fitness : 602.819
iteration 95 performed, best fitness : 762.412
iteration 96 performed, best fitness : 660.884
iteration 97 performed, best fitness : 838.901
iteration 98 performed, best fitness : 884.583
iteration 99 performed, best fitness : 877.585
iteration 100 performed, best fitness : 776.966
iteration 101 performed, best fitness : 904.152
iteration 102 performed, best fitness : 800.323
iteration 103 performed, best fitness : 1052.86
iteration 104 performed, best fitness : 767.257
iteration 105 performed, best fitness : 1051.41
iteration 106 performed, best fitness : 839.415
iteration 107 performed, best fitness : 881.774
iteration 108 performed, best fitness : 1049.34
iteration 109 performed, best fitness : 810.471
iteration 110 performed, best fitness : 835.573
iteration 111 performed, best fitness : 810.488
iteration 112 performed, best fitness : 926.35
iteration 113 performed, best fitness : 878.338
iteration 114 performed, best fitness : 951.422
iteration 115 performed, best fitness : 955.034
iteration 116 performed, best fitness : 1053.55
iteration 117 performed, best fitness : 788.328
iteration 118 performed, best fitness : 758.414
iteration 119 performed, best fitness : 752.207
iteration 120 performed, best fitness : 911.432
iteration 121 performed, best fitness : 1030.77
iteration 122 performed, best fitness : 876.068
iteration 123 performed, best fitness : 824.188
iteration 124 performed, best fitness : 998.699
iteration 125 performed, best fitness : 870.378
iteration 126 performed, best fitness : 859.841
iteration 127 performed, best fitness : 776.992
iteration 128 performed, best fitness : 979.295
iteration 129 performed, best fitness : 931.981
iteration 130 performed, best fitness : 923.606
